
[Name]
BC_2000

[Data]
X [ m ], Y [ m ], Z [ m ], X [ m ], Y [ m ]
3.91464047e-02, 2.75290404e-02, 0.00000000e+00, 3.91464047e-02, 2.75290404e-02
4.64197025e-02, 3.01435031e-02, 1.00000000e+00, 4.64197025e-02, 3.01435031e-02
4.64197025e-02, 3.01435031e-02, 0.00000000e+00, 4.64197025e-02, 3.01435031e-02
5.39332479e-02, 3.25794704e-02, 1.00000000e+00, 5.39332479e-02, 3.25794704e-02
5.39332479e-02, 3.25794704e-02, 0.00000000e+00, 5.39332479e-02, 3.25794704e-02
6.16733022e-02, 3.48734520e-02, 1.00000000e+00, 6.16733022e-02, 3.48734520e-02
6.16733022e-02, 3.48734520e-02, 0.00000000e+00, 6.16733022e-02, 3.48734520e-02
6.96320310e-02, 3.70292030e-02, 1.00000000e+00, 6.96320310e-02, 3.70292030e-02
6.96320310e-02, 3.70292030e-02, 0.00000000e+00, 6.96320310e-02, 3.70292030e-02
7.77982175e-02, 3.90780158e-02, 1.00000000e+00, 7.77982175e-02, 3.90780158e-02
7.77982175e-02, 3.90780158e-02, 0.00000000e+00, 7.77982175e-02, 3.90780158e-02
8.61699283e-02, 4.09998856e-02, 1.00000000e+00, 8.61699283e-02, 4.09998856e-02
8.61699283e-02, 4.09998856e-02, 0.00000000e+00, 8.61699283e-02, 4.09998856e-02
9.47513878e-02, 4.28290293e-02, 1.00000000e+00, 9.47513878e-02, 4.28290293e-02
9.47513878e-02, 4.28290293e-02, 0.00000000e+00, 9.47513878e-02, 4.28290293e-02
1.03547312e-01, 4.45542559e-02, 1.00000000e+00, 1.03547312e-01, 4.45542559e-02
1.03547312e-01, 4.45542559e-02, 0.00000000e+00, 1.03547312e-01, 4.45542559e-02
1.12553313e-01, 4.61924151e-02, 1.00000000e+00, 1.12553313e-01, 4.61924151e-02
1.12553313e-01, 4.61924151e-02, 0.00000000e+00, 1.12553313e-01, 4.61924151e-02
1.21769153e-01, 4.77376953e-02, 1.00000000e+00, 1.21769153e-01, 4.77376953e-02
1.21769153e-01, 4.77376953e-02, 0.00000000e+00, 1.21769153e-01, 4.77376953e-02
1.31201208e-01, 4.91942205e-02, 1.00000000e+00, 1.31201208e-01, 4.91942205e-02
1.31201208e-01, 4.91942205e-02, 0.00000000e+00, 1.31201208e-01, 4.91942205e-02
1.40850797e-01, 5.05799279e-02, 1.00000000e+00, 1.40850797e-01, 5.05799279e-02
1.40850797e-01, 5.05799279e-02, 0.00000000e+00, 1.40850797e-01, 5.05799279e-02
1.50717884e-01, 5.18699512e-02, 1.00000000e+00, 1.50717884e-01, 5.18699512e-02
1.50717884e-01, 5.18699512e-02, 0.00000000e+00, 1.50717884e-01, 5.18699512e-02
1.60810530e-01, 5.30862585e-02, 1.00000000e+00, 1.60810530e-01, 5.30862585e-02
1.60810530e-01, 5.30862585e-02, 0.00000000e+00, 1.60810530e-01, 5.30862585e-02
1.71127886e-01, 5.42240366e-02, 1.00000000e+00, 1.71127886e-01, 5.42240366e-02
1.71127886e-01, 5.42240366e-02, 0.00000000e+00, 1.71127886e-01, 5.42240366e-02
1.81674600e-01, 5.52858934e-02, 1.00000000e+00, 1.81674600e-01, 5.52858934e-02
1.81674600e-01, 5.52858934e-02, 0.00000000e+00, 1.81674600e-01, 5.52858934e-02
1.92455694e-01, 5.62688224e-02, 1.00000000e+00, 1.92455694e-01, 5.62688224e-02
1.92455694e-01, 5.62688224e-02, 0.00000000e+00, 1.92455694e-01, 5.62688224e-02
2.03473002e-01, 5.71705513e-02, 1.00000000e+00, 2.03473002e-01, 5.71705513e-02
2.03473002e-01, 5.71705513e-02, 0.00000000e+00, 2.03473002e-01, 5.71705513e-02
2.14732364e-01, 5.79988733e-02, 1.00000000e+00, 2.14732364e-01, 5.79988733e-02
2.14732364e-01, 5.79988733e-02, 0.00000000e+00, 2.14732364e-01, 5.79988733e-02
2.26237044e-01, 5.87416738e-02, 1.00000000e+00, 2.26237044e-01, 5.87416738e-02
2.26237044e-01, 5.87416738e-02, 0.00000000e+00, 2.26237044e-01, 5.87416738e-02
2.37990648e-01, 5.94179742e-02, 1.00000000e+00, 2.37990648e-01, 5.94179742e-02
2.37990648e-01, 5.94179742e-02, 0.00000000e+00, 2.37990648e-01, 5.94179742e-02
